"refid","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10","field11","field12","field13","field14","field15","field16","field17","field18","field19","field20","field21","field22","field23","field24","field25","field26","field27","field28","field29","field30","field31","field32","field33","field34","field35","field36","field37","field38","field39","field40","field41"
662,,,"Price, Owen",2006,"Peak of Wollemi fire activity",,"Owen Price",,,,,,,,,,,,"Bushfire",,,,,,,,,"government",,,,"Wollemi",,,,,,,,,
461,,,,2004,"oct 13: hotspot visible between syd and nc reegions, no vis smoke.  Hs vis in illawarra region with vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004287/crefl2_143.A2004287040501-2004287041000.500m.jpg",,
190,,,,2006,"Jun 16: Vis smoke and hotspot Launceston",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006168/crefl2_143.A2006168034001-2006168034501.500m.jpg",,
144,,,,1994,"Austrailian wildlife is ravaged by Fast, gerocious Bushfires Sydney jan 10",,"Miami Herald",,,,,,,,,,,,,,,,,,,,,"media","Entire colonies of wildlife may have perished in the wildfires near Sydney, animal experts say, and some animals have fled into suburban backyards to escape the flames. The fires flared dramatically Sunday when the winds shifted and became stronger, and hundreds more people were forced to flee their homes. Four people, including two firefighters, have been killed and more than 60 hospitalized since the fires began a week ago. Shifting winds whipped up huge blazes in national parks on...",,,,,,,,,,"http://nl.newsbank.com/nl-search/we/Archives?p_product=MH&s_site=miami&p_multi=MH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB4CEEFCB4D67C5&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM",,
440,,,,2006,"Dec 7: no vis hs but great example for the lady that can distingish smoke from cloud cover!!",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006341/crefl1_143.A2006341003500-2006341004000.500m.jpg",,
146,,,,1994,"Exploding Eucalyptus trees fuel Sydney Devastation jan 11",,"New Straits Times",,,,,,,,,,,,,,,,,,,,,"media","The Fires that have devastated Sydney were among the world's most fiercest and most unpredictable because of the exploding, highly flammable eucaplyptus trees and the city's postcard bushlan.",,,,,,,,,,"http://news.google.com/newspapers?id=Fe8VAAAAIBAJ&sjid=0BMEAAAAIBAJ&pg=5839,130684&dq=australian+bushfire",,
147,,,,2005,"huge hotspots with a lot of vis smoke Perth jan 20",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2005020/crefl1_143.A2005020020000-2005020020500.500m.jpg",,
148,,,,2005,"huge hotspots with a lot of vis smoke Perth jan 19",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2005019/crefl2_143.A2005019053500-2005019054000.500m.jpg",,
149,,,,2006,"hotspot visible near perth jun 7 (some cloud cover)",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006158/crefl1_143.A2006158021000-2006158021459.500m.jpg",,
150,,,,1997,"Elseware: Perth Jan 4",,"St.Louis Mercury",,,,,,,,,,,,,,,,,,,,,"media"," A bush fire near Perth, Australia, forced the evacuation of hundreds of people from their homes and a prison, razed buildings...",,,,,,,,,,"http://nl.newsbank.com/nl-search/we/Archives?p_product=SJ&s_site=mercurynews&p_multi=SJ&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB7205661D60CB7&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM",,
151,,,,1997,"Australia swelters as major bushfires rage jan 6",,"the nation",,,,,,,,,,,,,,,,,,,,,"media","Perth, Australia- Searing summer terperatures fuelled bushfires which raveaged much of western ansouthern australia on Saturday and dyesterday, as Europte and Northe America continued to endure their worst winter for years.  A major blaze in the eastern suburbs of theis western port city was contained early yesterday and about 1,000 people evacuated on Sat were alled to return to their homes, a West Australian stae Bushfires Board spokesman said.  Five fire-fighters suffered minor burns and smoke inhalation while 10,500 hectares of land were burnt and 10 buildings destoryed in the fire.",,,,,,,,,,"http://news.google.com/newspapers?id=XN0GAAAAIBAJ&sjid=tjADAAAAIBAJ&pg=2149,1437068&dq=australian+bushfire",,
152,,,,2006,"hotspot visible, some cloud cover jun 19",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006170/crefl1_143.A2006170023000-2006170023459.500m.jpg",,
675,,,,2003,"jan 19: lots of hs and vis smoke in Albury and wagga wagga  area reaching bathurst region",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003019/crefl1_143.A2003019000000-2003019000459.500m.jpg",,
154,,,,2006,"dozens of hotspots with visible smoke near perth may 12",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006132/crefl2_143.A2006132054500-2006132055000.500m.jpg",,
155,,,,1998,"Australian Blazes: syd mar 27",,"Morning Star",,,,,,,,,,,,,,,,,,,,,"media","A Bush fire burning out of control in a forest just north of Sydney sent a huyge loud of smoke drifting over Australia's largest metropolitan area.  The Environment Protection Authority reported high pollution readings in the northern suburbs, and said stagnant conditions were preventing the smoke from dissipating.",,,,,,,,,,"http://news.google.com/newspapers?id=uZ0WAAAAIBAJ&sjid=ZhUEAAAAIBAJ&pg=5392,6147177&dq=australia+bushfire",,
156,,,,2001,"Australia's bush fire: Sydney Dec 24-28",,"Pittsburgh Post-Gazette",,,,,,,,,,,,,,,,,,,,,"media","Thousands of firefighters fought fierce bush fires ringing Sydney for a thrid day today amid fears that strong winds could return to fan the flames.  Police and fire officials said dozens of blazes-some described as ""fire storms"" - had destoyed about 150 homes and properties, mostly south and west of the city, as fast-moving flames kept firefighters on the retreat.  More than 1000 people have been evacuated from their homes.  Bust there were no reports of death or serious injury in the more than 100 fires.",,,,,,,,,,"http://news.google.com/newspapers?id=kI4NAAAAIBAJ&sjid=MnADAAAAIBAJ&pg=3503,3402190&dq=australia+bushfire",,
391,,,,2002,"jan 4: Day 11 of Australian bushfires offers no end in sight",,"NZ Herald News",,,,,,,,,,,,,,,,,,,,,"media","Day 11 of the bushfire crisis in Australia found firemen battling to protect property in the south coast Shoalhaven region of NSW and in the Blue Mountains to the west of Sydney.

The south coast resort town of Bendalong is under threat from the fire's southern front, and naval base HMAS Creswell - where 260 people are resident - is threatened by the fire's north-east front. 

The fire is the same one which destroyed at least 12 homes at Sussex Inlet and which has spread into Booderee National Park - despite desperate attempts by fire teams to stop it.

Low temperatures may be a saving grace for firefighters in the Blue Mountains after fires reached properties at Woodford yesterday.

Further evacuations are expected in the area and two fire teams are on standing by in case the fire flares again. 

More than 80 fires continue to burn in NSW as the government announced plans to bring in two more waterbombing air crane helicopters to combat the blazes",,,,,,,,,,"http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=585062",,
676,,,,2003,"jan 21: massive hs with vis smoke in Albury and smoke in bathurst",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003021/crefl2_143.A2003021040000-2003021040500.500m.jpg",,
677,,,,2003,"jan 20: smoke all over southeastern australia..bathurst",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003020/crefl1_143.A2003020004501-2003020005000.500m.jpg",,
678,,,,2006,"Dec 12: Bushfire threat to two Tasmanian towns",,"the age",,,,,,,,,,,,,,,,,,,,,"media","A bushfire that destroyed 14 homes in a seaside town on Tasmania's east coast switched direction today and is threatening two other towns.

Residents in Irish Town and St Marys, which are inland and south of the fire-ravaged town of Scamander, remain on high alert late today as the fire front advances.

A Tasmania Fire Service (TFS) spokesman said the smoke had reduced visibility to just metres in the towns, and roads had been closed.

""(The fire) started inland and the westerly wind yesterday pushed it to the coast ... the big concern now is everything south of the fire,"" said Danny Reid, of the TFS fire management unit.

""It is pushing the fire in the opposite direction down towards St Marys (and) Irish Town.

""If it crosses Elephant Pass and gets into the Douglas Apsley National Park there is nothing to stop it going right through to Bicheno.""

Mr Reid said the front had reached Irish Town late today but was yet to hit St Marys, a major population centre in the state's east with about 600 residents.

But the inferno was moving slower than yesterday, when it was fanned by winds gusting over 110 kilometres per hour, meaning fire crews had enough time to keep ahead of the fire front.

There were about 130 firefighters, 28 tankers, eight bulldozers and two aircraft including a water-bombing helicopter involved in fighting the fire today.

No homes have been lost in the two towns so far, Mr Reid said.

A community meeting was held in St Marys early today with many residents stating they would stay on their properties and face the fire.

""There are quite a few people living in St Marys but in the area immediately around the town there are a lot of houses dotted amongst the bush - residences and holiday homes,"" Mr Reid said of St Marys.

Scamander residents, including panelbeater Aaron McKinnie who lost his shed and three cars he was working on, today described the scenes as the fire tore through their town overnight.

""It was crazy, it just came so fast. One minute it was so far down the road and the next minute it was on my ... back doorstep,"" said Mr McKinnie, who credits his neighbour with saving his home.

""All we did was packed photos in a couple of cars and left.""

The high winds threw sparks one kilometre ahead of the blaze and was strong enough to lift gravel from the roadsides.

There were no reports of deaths but one man was taken to Launceston General Hospital with burns to his arm.

A community audit is underway to tally the damage and total loss of homes.

The Scamander Supermarket today became a meeting place for locals as owner Kevin Love emptied his freezer and fridges of thousands of dollars of goods he can't keep.

""We've been told the power could be off for a couple of days. I'd rather give it away than chuck it away,"" he said.

Tasmanian Premier Paul Lennon today visited fire ravaged streets in Scamander, and pledged government aid for stricken communities.

""This is a terrible situation and I want to reassure the local community that we will stand with them in their hour of need,"" he said in a statement.",,,,,,,,,,"http://www.theage.com.au/news/national/bushfire-threat-to-two-tasmanian-towns/2006/12/12/1165685678605.html",,
679,,,,2003,"Jan 18: Hotspots and smoke in Bathurst and wagga wagga",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003018/crefl2_143.A2003018033000-2003018033500.500m.jpg",,
652,,,"Price, Owen",2002,"25000 ha fire starts on 24th Nov  (40 km w of Newcastle). Burns until 18th December",,"Owen Price",,,,,,,,,,,,"Bushfire",,,,,,,,,"government",,,,"W of Newcastle",,,,,,,,,
392,,,"Holloway, Grant",2002,"jan 11:New laws as Sydney fire threat abates",,"cnn",,,,,,,,,,,,,,,,,,,,,"media","SYDNEY, Australia (CNN) -- Fire authorities are becoming increasingly optimistic that they have Australia's bush fire crisis under control, despite the outbreak of a suspicious new blaze. 

Of the 80 fires still burning Friday, all but 10 of them are now under control or in the mopping up stage with milder weather conditions assisting the efforts. 

At one stage last week, more than 100 fires were burning out of control across the state, including two major blazes in Sydney's suburban parklands. 

The main area of concern continues to be on the coast south of Sydney with a 45 kilometer (28 mile) fire front burning in rugged bushland in the Shoalhaven area. 

However, a new fire on the Central Coast of New South Wales, about 80 kilometers (50 miles) north of Sydney, has provided a fresh challenge for overworked fire fighters. 

  VIDEO  
 After weeks of wildfires in the Sydney, Australia, area, the first rains of the year bring some relief to firefighters and homeowners. Channel 7 Australia Correspondent Darren Curtis reports (January 7)  

 
Play video
(QuickTime, Real or Windows Media)  
 
 

--------------------------------------------------------------------------------
 
 It is estimated that thousands of koalas have perished in the wildfires that plague Australia. Kirsty Boazman reports (January 6)  

 
Play video
(QuickTime, Real or Windows Media)  
 
 
  
  GALLERY  
 Fighting the flames   
 
 
  
  ALSO  
•  Sydney smoke a drag for NZ   
 
 
 
•  Australian fires fuel economic loss   
 
 
 
  
  CNN.com Asia 
More news from our
Asia edition
 
 
  
 
 
In the absence of any lightning strikes or other obvious causes, the latest blaze is believed to have been deliberately lit. 

More than 30 suspected arsonists have been arrested so far by a NSW police task force with the majority of those believed to be juveniles. 

In the wake of the state's worst fire disaster, the New South Wales Government has unveiled sweeping new legislation aimed at reducing future bush fire hazards. 

The fire crisis, which began on Christmas Eve, has so far razed more than 570,000 hectares (1.2 million acres) of land and destroyed 170 properties. 

The new laws will give the Rural Fire Service the power to enter residential properties to conduct hazard reduction -- such as clearing vegetation away from houses -- without needing the permission of the householders. 

Unco-operative householders will be charged for the work the fire service does. 

The fire service will also be able to undertake hazard reduction in national parks on the same basis. 

The legislation will also strengthen the requirements of local councils to consult with the fire service over residential and other developments in bush fire prone areas. 

The role of councils in bush fire management has been under attack during the latest crisis with reports from householders that some councils had prevented them from undertaking hazard prevention work or made doing the job a bureaucratic nightmare. 

Australian bushland is dominated by eucalyptus trees and other oily trees which catch fire easily in dry weather and burn with great intensity. 

While the fires are a necessary and natural event in Australia, the expansion of city suburbs into native bush areas over the past few decades has increased the damaging impact of the infernos on property. 

Sydney, a city of 4 million people and the commercial capital of Australia, has extensive bushland areas fringing the city and punctuating deep into suburban areas.",,,,,,,,,,"http://edition.cnn.com/2002/WORLD/asiapcf/auspac/01/11/fires.laws/index.html",,
159,,,,2007,"Strong Winds fuel Mt. Kembla blaze oct 16 (illawarra)",,"abc news online",,,,,,,,,,,,,,,,,,,,,"media","Firefighters are battling a bushfire that is being fanned by strong winds at Mount Kembla, on the outskirts of Wollongong on the New South Wales south coast.

Gusty winds and high temperatures are expected to create hazardous conditions along much of the state's east coast today, ahead of a southerly change this afternoon.

Cameron Wade from the Rural Fire Service says at least 12 crews have been deployed to the Illawarra fire.

""Certainly I've been talking to the crews down there,"" he said.

""They are concerned about that area, but as I said there's heaps of resources there. We're also sending some aircraft down there as we speak to assist those ground crews.""

Tags: fires, bushfire, mount-kembla-2526, wollongong-2500",,,,,,,,,,"http://www.abc.net.au/news/stories/2007/10/16/2060473.htm?site=illawarra",,
160,,,,2007,"Single hotspot visible in Illawarra apr 20",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007110/crefl1_143.A2007110000000-2007110000459.500m.jpg",,
680,,,,2003,"Jan 22: Hotspots with massive amounts of smoke in Albury, Thamworth, Waggawagga and Bathurst regions",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003022/crefl1_143.A2003022003000-2003022003500.2km.jpg",,
2,,,"McCaw, Lachie",2009,"Personal Communication, 16 June 2009",,"Expert",,,,,,,,,,,,,,,,,,,,,"government","Dr Lachlan McCaw
>> Principal Research Scientist
>> Department of Environment and Conservation
>> Science Division
>> Manjimup WA 6258>>
>> tel:  61 8 9771 7998
>> fax: 61 8 9777 1183",,,,,,,,,,,,
681,,,,2003,"jan 24: vis smoke in bathurst region",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003024/crefl1_143.A2003024002001-2003024002500.500m.jpg",,
4,,,"Some Journalist",2007,"may 1: Big Bushfire Near Perth",,"West Australian",,,,,,,,,,,,,,,,,,,,,"media","fire",,,,,,,,,,,,
163,,,,2001,"Christmas 2001/2002 bushfires",,"New South Wales Government, NSW Fire Brigades",,,,,,,,,,,,,,,,,,,,,"government","The Christmas 2001/2002 bushfire emergency officially began on 24 December 2001 with the outbreak of major bushfires in the Cessnock, Blue Mountains, Hawkesbury and Penrith areas. Although the main fire activity ended on 7 January 2002 following heavy overnight rain around Sydney, the NSW Fire Brigades continued its operations in the South Coast region until 11 January 2002.

Despite these bushfires having been deemed ‘far more ferocious’ than the 1994 fires during which 185 homes were destroyed and 4 lives lost, the NSW Fire Brigades capacity to maintain its normal standards of fire cover, hazmat and rescue response as well as meeting the bushfire commitments was never compromised. 

Then Director of State Operations, Assistant Commissioner Greg Mullins, reported that although the fires of 2001/2002 were in many cases more intense than the 1994 fires, no lives were lost, and far less property damage occurred. This was directly attributable to superior coordination between the services, higher standards of firefighting equipment and personal protective equipment, use of aircraft and coordination of interstate resources, all of which resulted in more effective firefighting operations. 

Inter-agency cooperation also played a vital part in the success of the firefighting campaign. For the first time ever, cross service crewing of appliances took place, with NSW Fire Brigades firefighters relieving Rural Fire Service volunteers on their tankers at Hawkesbury and Wollondilly. The NSW Premier, Bob Carr, praised the efforts of both professional and volunteer firefighters from every State and Territory in Australia and congratulated all those who were involved in fighting the fires. 

Overview of bushfire damage Total area burnt 753,314 hectares 

 
Houses destroyed 109 

 
Houses damaged 40 

 
Outbuildings destroyed 433 

 
Vehicles destroyed 222 

 
Stock destroyed 7,043 

 
Beehives destroyed 243 

 
Other buildings (commercial, industrial) destroyed 33",,,,,,,,,,"http://www.nswfb.nsw.gov.au/page.php?id=475",,
682,,,,2003,"jan 25: major hs with vis smoke in both albury and bathurst",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003025/crefl2_143.A2003025033501-2003025034000.500m.jpg",,
165,,,,1998,"summary of major bushfires; NSW jan 1",,"IT Cental University of Tasmania",,,,,,,,,,,,,,,,,,,,,"internet",,,,,,,,,,,"http://home.iprimus.com.au/foo7/firesnsw.html",,
166,,,,2001,"summary of major bushfires; NSW dec 21",,"IT Cental University of Tasmania",,,,,,,,,,,,,,,,,,,,,"internet",,,,,,,,,,,"http://home.iprimus.com.au/foo7/firesnsw.html",,
167,,,,2002,"summary of major bushfires; NSW oct 9",,"IT Cental University of Tasmania",,,,,,,,,,,,,,,,,,,,,"internet",,,,,,,,,,,"http://home.iprimus.com.au/foo7/firesnsw.html",,
168,,,,2002,"summary of major bushfires; NSW dec 4",,"IT Cental University of Tasmania",,,,,,,,,,,,,,,,,,,,,"internet",,,,,,,,,,,"http://home.iprimus.com.au/foo7/firesnsw.html",,
424,,,,2003,"Jan 30:Sydney hit as fires rage in NSW",,"the age",,,,,,,,,,,,,,,,,,,,,"media","Raging bushfires continued to tear through NSW on Thursday, razing up to three houses in outer Sydney, closing down major roads and threatening property across the state.

More than 100 firefighters backed by around 20 trucks and waterbombers were on Thursday night battling to contain fires sweeping through the Beechwood housing estate in Prestons in south-west Sydney.

NSW Fire Brigades spokesman Ian Krimmer said three houses, two of them derelict, were believed to have been burned down as well as several sheds.

""We've still got spot fires that are springing up in the area,"" he said from the scene.

""I wouldn't say it's under control but we're slowly containing it.""


The rapid-moving grassfire jumped the M5 near Camden Valley Way just before 3pm on Thursday, forcing the closure of the motorway for two hours and causing massive traffic jams.

Elsewhere in the state, temperatures in the mid-40s and wind gusts of up to 85kph, combined with low humidity, turned large swathes of country into tinderboxes.

The lakeside town of Wee Jasper, north of the ACT, was surrounded by flames with a large number of homes under threat, said Rural Fire Service spokesman John Winter, although firefighters were ""fairly hopeful"" of saving them.

Villages and communities in the Jindabyne area, south of the ACT, were also on high alert with many residents voluntarily evacuating to the town centre.

However, landscape architect Graham Jones was this evening preparing to defend his home, which was being threatened by an anticipated wind change.

""I feel confident that it was the right decision (to stay) but if it gets too much we'll jump in the car and get away,"" he said from his house outside Jindabyne.

""There's more smoke to the south but it's coming through in droves. It's pretty thick.""

East of the ACT, spot fires jumped the Murrumbidgee River and were threatening Michelago.

The Monaro Highway, the southern gateway to the capital, was closed between the ACT and Cooma.

A scrub fire in Woy Woy on the central coast posed no immediate danger to residents but was possibly heading towards Brisbane Waters national park while there was also a large grass fire in Harden in south-west NSW.",,,,,,,,,,"http://www.theage.com.au/articles/2003/01/30/1043804464398.html",,
462,,,,2000,"Dec 26:NSW: Family evacuated as bushfire threatens homes",,"aap",,,,,,,,,,,,,,,,,,,,,"media","NSW: Family evacuated as bushfire threatens homes 

SYDNEY, Dec 26 AAP - One firefighter was injured and a family evacuated as bushfires 
raged in southern Sydney last night, threatening homes. 

The bushfires at Barden Ridge near Menai were fuelled by a sudden wind change shortly 
before 9pm, Menai station commander Bob Gaul said. 

A 21-year-old firefighter suffered minor injuries to his hands and two other firefighters 
had to be treated for smoke inhalation and irritation to their eyes from embers. 

A mother and her four young children were evacuated from their home in Sir Thomas Mitchell 
Drive when the bushfire threatened their house. 

Over 75 ...",,,,,,,,,,"http://www.highbeam.com/doc/1P1-38563417.html",,
646,,,"Price, Owen",1997,"Many fires burnt ~100 000 ha in N and S Blue Mountains starting Nov 26th, most burnt into january 1998",,"Owen Price",,,,,,,,,,,,"Bushfires",,,,,,,,,"government","Many fires burnt ~100 000 ha in N and S Blue Mountains starting Nov 26th, most burnt into january 1998",,,"Blue Mountains",,,,,,,,,
173,,,,2002,"Worst bushfire in 30 years"" on NSW North Coast sep 30",,"Autralian weather News",,,,,,,,,,,,,,,,,,,,,"media","Worst bushfire in 30 years"" on NSW North Coast 
DROUGHTWATCH: The first water restrictions for Longreach Qld in 10 years 
A fire burning in the Kalang Valley west of Bellingen on the NSW North Coast has been described by a Rural Fire Service spokesman as the worst in the area in 30 years. The fire, which has burnt through 3,000ha, joined up with smaller fires to the south and is still burning fiercely, though no propertly losses have been reported. Smaller fies on the North Coast are still burning at Rappville, Pikapene and Coraki in the Casino area.",,,,,,,,,,"http://www.australianweathernews.com/news/2002/09/20020930.htm",,
657,,,"Price, Owen",2003,"4000 ha fire starts 15 km W of Wollongong",,"Owen Price",,,,,,,,,,,,"Bushfire",,,,,,,,,"government",,,,"Wollongong",,,,,,,,,
191,,,,2007,"jan 11 vis hotspot and smoke hobart",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006168/crefl2_143.A2006168034001-2006168034501.500m.jpg",,
281,,,,2002,"July 11: no hotspot vis in Newcastle region, one hostspot vis south of sydney, no visible smoke, possible biomass",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,"NOTE changed to bushfire after consult other refs",,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2002192/crefl1_143.A2002192000000-2002192000459.500m.jpg",,
211,,,,1997,"nov 29-dec 8 syd and nc : Australian Bushfires now under control",,"Daily news",,,,,,,,,,,,,,,,,,,,,"media","Sydney, Australia (Reuters)- The bushfrie crisis along Australia's eastern seaboard eased Monday as firefighters brought the last of the existing blazes under control.  Firefighters siad only 20 fires, down from a peok of 400, were still burning. Three firemen have died fighting the blazes.",,,,,,,,,,"http://news.google.com/newspapers?id=SFwPAAAAIBAJ&sjid=T4YDAAAAIBAJ&pg=4477,5733776&dq=sydney+bushfire",,
759,,,,2003,"sep 21: - On the 21st there is definitely dust around a source in SA, but then there is a patch of separate aerosol over Sydney that might be from a local bush fire.",,"TOMS",,,,,,,,,,,,,,,,,,,,,"toms","sarah henderson assessment 9/2/2010",,,,,,,,,,,,
174,,,,2002,"Fires flared in northern, western and southern Sydney this afternoon  dec 4",,"Autralian weather News",,,,,,,,,,,,,,,,,,,,,"media","Fires flared in northern, western and southern Sydney this afternoon in strong, dry and hot westerly winds following the passage of the trough. More than 20 houses were destroyed, according to press reports, as some 50 fires flared, disrupting the state's electricity system and throwing transport systems into chaos in the evening peak. The situation was said to be the worst since the Christmas Day outbreaks of 2001, and residents in many northern and southern suburbs were asked to stay home Thursday to help protect their properties. Around 3,000 firefighters were working on the fires by days end. Two huge plumes of smoke were visible across the Sydney basin during the late afternoon:

A fire deliberately started on Holsworthy Army Reserve near Wedderburn, south of Sydney, crossed Georges River at Sandy Point. Houses were threatened in Glenfield and Wattle Grove near the army reserve, and homes in Alfords Point and Sandy Point were evacuated, with some evacuees fleeing by boat across the river. One house in each of Sandy Point, Picnic Point and Wattle Grove were destroyed. 
Two fires started in the Maroota area of Baulkham Hills to Sydney's northwest around 3pm. One jumped Old Northern Road and was moving towards Arcadia. About 15 homes had been lost along the Old Northern Road between Glenorie and Forest Glen by 6pm according to press reports. The Rural Fire Service confirmed the loss of 7 homes and 4 cars, with 6,500ha consumed by mid-afternoon Thursday.",,,,,,,,,,"http://www.australianweathernews.com/news/2002/12/20021204.htm",,
175,,,,2002,"Worst dust storm in decades sweeps across four states oct 23",,"Autralian weather News",,,,,,,,,,,,,,,,,,,,,"media","A strong, gusty southwest wind change swept tens of millions of tonnes of dust across eastern states today, giving many areas one of their worst dust storms on record. Raised dust, which was widespread in South Australia yesterday, spread across northern Victoria and NSW overnight, arriving in SW Queensland and eastern NSW after dawn this morning. The dust storm was at its worst in western NSW and Queensland, with visibility reduced to 50m in places as fresh dust was whipped up from bone dry soil with reduced vegetation cover and mixed through the lower atmosphere by strong, gusty winds.

Professor Grant McTainsh, a wind erosion specialist at Griffith University Queensland, said ""This is one of the biggest dust storms in the last 20 years, it's enormous. It could easily have tens of millions of tonnes of dust. It was 6km high at Charleville, southern Queensland. That's incredible. Usually, storms stop picking up dust as they move east. But this picked up dust all the way to the coast."" Professor McTainsh said a million tonnes of dust was equivalent to 200,000 semi-trailer loads. ""That's two million trailer loads of dust blown away. Most of it ended in the ocean",,,,,,,,,,"http://www.australianweathernews.com/news/2002/10/20021023.htm",,
176,,,,1997,"High particle concentrations measured at a Perth metropolitan site from
a bushfire source in the lower southwes DEC 2",,"Pilbara Monitoring report.doc",,,,,,,,,,,,,,,,,,,,,"government","Figure D3 High particle concentrations measured at a Perth metropolitan site from
a bushfire source in the lower southwest. The data is shown as 10-minute
averages over a 12-hour period between 1800 hours (6 pm) on 01/12/1997 and
0600 hours (6 am) on 02/12/1997.
During the peak concentration period, between 2300 hours (11 pm) on 01/12/1997 to
0300 hours (3 am) on 02/12/1997, the PM2.5 to PM10 ratio was 0.9.
Reasons for the low PM2.5 to PM10 ratios at Boodarie are unknown; however, many of
the high haze periods recorded in the Pilbara during 2000 occurred during moderate to
high wind conditions of 6 to 12 ms-1. The low PM2.5 to PM10 ratios may result from a
combination of wind-swept coarse fraction dust particles combining with combustioninduced
smoke. In all cases during the peak events, the relative humidity was less than
40% and in most cases below 25%. The annual averaged particle concentrations for",,,,,,,,,,,,
374,,,,2004,"may 8: single small hs visible west newcastle, possible biomass",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004129/crefl2_143.A2004129035501-2004129040001.500m.jpg",,
426,,,,2003,"jan 21: Fires exacerbate Sydney pollution",,"abc news online",,,,,,,,,,,,,,,,,,,,,"media","The smoke haze across Sydney and surrounds this morning is a combination of the bushfires, dust and water vapour.

The Environmental Protection Authority's John Dengate says the pollution levels across the city are extremely high at the moment and has warned that people with breathing difficulties should take precautions.

""If it stays fairly calm as it is right now while that's of course very good for firefighting it does mean that the smoke will hang around,"" he said.

""If the wind picks up a bit then that may disperse the smoke but of course what we don't want is enough wind that firefighting becomes difficult, so continuing calm conditions, while they may exacerbate the air pollution, will certainly make the firefighters' job a little bit easier",,,,,,,,,,"http://www.abc.net.au/news/newsitems/200301/s766847.htm",,
377,,,,2005,"april 3: single hs, no visible smoke in illawarra region, possible biomass",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2005093/crefl1_143.A2005093.0015.004.2005093094842.500m.jpg",,
660,,,"Price, Owen",2006,"2100 ha Quarry Fire starts near Gosford",,"Owen Price",,,,,,,,,,,,"Bushfire",,,,,,,,,"government",,,,"Gosford",,,,,,,,,
